timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698954742902,2500,https://portaltest.mtn.ci/auth/authenticate/basic,200,OK,Thread Group 1-1,text,true,,3830,4388,6,6,https://portaltest.mtn.ci/auth/authenticate/basic,2500,0,515
1698954743071,2631,https://portaltest.mtn.ci/auth/authenticate/basic,200,OK,Thread Group 1-2,text,true,,3830,4388,6,6,https://portaltest.mtn.ci/auth/authenticate/basic,2631,0,497
1698954745402,1219,https://portaltest.mtn.ci/assets/toast/success.svg,200,OK,Thread Group 1-1,text,true,,1604,434,6,6,https://portaltest.mtn.ci/assets/toast/success.svg,1219,0,0
1698954745702,920,https://portaltest.mtn.ci/assets/toast/success.svg,200,OK,Thread Group 1-2,text,true,,1604,434,6,6,https://portaltest.mtn.ci/assets/toast/success.svg,920,0,0
1698954746623,246,https://portaltest.mtn.ci/assets/icons/fold.svg,200,OK,Thread Group 1-1,text,true,,417,431,6,6,https://portaltest.mtn.ci/assets/icons/fold.svg,246,0,0
1698954746623,246,https://portaltest.mtn.ci/assets/icons/fold.svg,200,OK,Thread Group 1-2,text,true,,417,431,6,6,https://portaltest.mtn.ci/assets/icons/fold.svg,246,0,0
1698954743238,4102,https://portaltest.mtn.ci/auth/authenticate/basic,200,OK,Thread Group 1-3,text,true,,3830,4388,6,6,https://portaltest.mtn.ci/auth/authenticate/basic,4102,0,2166
1698954746869,1157,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,200,OK,Thread Group 1-1,text,true,,8831,436,6,6,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,1157,0,0
1698954743405,4622,https://portaltest.mtn.ci/auth/authenticate/basic,200,OK,Thread Group 1-4,text,true,,3830,4388,6,6,https://portaltest.mtn.ci/auth/authenticate/basic,4622,0,2300
1698954746870,1156,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,200,OK,Thread Group 1-2,text,true,,8831,436,6,6,https://portaltest.mtn.ci/assets/icons/logo-gray.svg,1156,0,0
1698954747339,754,https://portaltest.mtn.ci/assets/toast/success.svg,200,OK,Thread Group 1-3,text,true,,1604,434,6,6,https://portaltest.mtn.ci/assets/toast/success.svg,754,0,0
1698954743736,5529,https://portaltest.mtn.ci/auth/authenticate/basic,200,OK,Thread Group 1-6,text,true,,3830,4388,6,6,https://portaltest.mtn.ci/auth/authenticate/basic,5529,0,3094
